added,title,year,rating5,rating10,imdb_url
"2017-04-14","Captain America: Civil War","2016","4","","http://www.imdb.com/title/tt3498820/"
"2017-04-11","Ant-Man","2015","4","","http://www.imdb.com/title/tt0478970/"
"2017-04-09","Avengers: Age of Ultron","2015","3","","http://www.imdb.com/title/tt2395427/"
"2017-03-25","Finding Dory","2016","2","","http://www.imdb.com/title/tt2277860/"
"2017-03-18","Guardians of the Galaxy","2014","2","","http://www.imdb.com/title/tt2015381/"
"2017-03-11","Chappie","2015","2","","http://www.imdb.com/title/tt1823672/"
"2017-03-11","Melancholia","2011","2","","http://www.imdb.com/title/tt1527186/"
"2017-03-09","Secret Window","2004","3","","http://www.imdb.com/title/tt0363988/"
"2017-03-04","Sunshine","2007","3","","http://www.imdb.com/title/tt0448134/"
"2017-02-12","Gone Baby Gone","2007","3","","http://www.imdb.com/title/tt0452623/"
"2017-02-06","Another Earth","2011","5","","http://www.imdb.com/title/tt1549572/"
"2017-01-29","Terminator Genisys","2015","1","","http://www.imdb.com/title/tt1340138/"
"2017-01-29","The Hunger Games: Mockingjay - Part 2","2015","3","","http://www.imdb.com/title/tt1951266/"
"2017-01-28","The Hunger Games: Mockingjay - Part 1","2014","4","","http://www.imdb.com/title/tt1951265/"
"2017-01-28","Kingsman: The Secret Service","2014","5","","http://www.imdb.com/title/tt2802144/"
"2017-01-28","Triangle","2009","3","","http://www.imdb.com/title/tt1187064/"
"2017-01-22","The Godfather: Part III","1990","3","","http://www.imdb.com/title/tt0099674/"
"2017-01-14","Zootopia","2016","4","","http://www.imdb.com/title/tt2948356/"
"2016-12-22","Suicide Squad","2016","2","","http://www.imdb.com/title/tt1386697/"
"2016-12-19","Warcraft: The Beginning","2016","3","","http://www.imdb.com/title/tt0803096/"
"2016-12-18","Jurassic World","2015","2","","http://www.imdb.com/title/tt0369610/"
"2016-11-26","Man on Wire","2008","3","","http://www.imdb.com/title/tt1155592/"
"2016-11-20","The Girl on the Train","2013","1","","http://www.imdb.com/title/tt2387589/"
"2016-11-19","Enough Said","2013","2","","http://www.imdb.com/title/tt2390361/"
"2016-11-19","The Nice Guys","2016","4","","http://www.imdb.com/title/tt3799694/"
"2016-11-19","Metropolis","1927","3","","http://www.imdb.com/title/tt0017136/"
"2016-11-18","Deadpool","2016","3","","http://www.imdb.com/title/tt1431045/"
"2016-11-12","The Neon Demon","2016","4","","http://www.imdb.com/title/tt1974419/"
"2016-11-05","Star Wars: The Force Awakens","2015","5","","http://www.imdb.com/title/tt2488496/"
"2016-10-29","The Godfather: Part II","1974","4","","http://www.imdb.com/title/tt0071562/"
"2016-10-28","The Godfather","1972","4","","http://www.imdb.com/title/tt0068646/"
"2016-09-26","The Den","2016","2","","http://www.imdb.com/title/tt2503154/"
"2016-09-25","Hush","2016","2","","http://www.imdb.com/title/tt5022702/"
